Otu,phylum,subphylum,class,order,family,genus,species,trophic.mode,guild
Otu6338,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Sporormiella_sp|SH190508.06FU,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
Otu6351,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Falciformispora,Pulchromyces_fimicola|SH227367.06FU,Pathotroph,Plant Pathogen
Otu6353,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeria,Pulchromyces_fimicola|SH227367.06FU,Pathotroph,Plant Pathogen
Otu640,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Cochliobolus_lunatus|SH224802.06FU,Pathotroph,Plant Pathogen
Otu6444,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Tintelnotia,Schizosaccharomyces_cryophilus|SH239688.06FU,NA,NA
Otu6461,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Sclerostagonospora,Ochroconis_calidifluminalis|SH241393.06FU,Saprotroph,Undefined Saprotroph
Otu6466,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Lophiostomataceae,Massariosphaeria,Lophiostoma_fuckelii|SH237048.06FU,Saprotroph,Undefined Saprotroph
Otu6527,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Lophiostomataceae,Massariosphaeria,Schizosaccharomyces_cryophilus|SH239688.06FU,Saprotroph,Undefined Saprotroph
Otu6567,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Pleosporales_sp|SH223770.06FU,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
Otu6592,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Trematosphaeria,Herpotrichiellaceae_sp|SH211543.06FU,Saprotroph,Undefined Saprotroph
Otu6609,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Pleosporaceae_sp|SH224876.06FU,Pathotroph,Plant Pathogen
Otu6623,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Ampelomyces,Schizosaccharomyces_cryophilus|SH239688.06FU,Symbiotroph,Endophyte
Otu663,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Pseudochaetosphaeronema,Periconia_sp|SH196128.06FU,NA,NA
Otu6655,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Herpotrichia,Blastobotrys_nivea|SH196641.06FU,Saprotroph,Undefined Saprotroph
Otu6686,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Ampelomyces,Schizosaccharomyces_cryophilus|SH239688.06FU,Symbiotroph,Endophyte
Otu6714,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Arthopyreniaceae,Arthopyrenia,Pleosporales_sp|SH231573.06FU,Symbiotroph,Lichenized
Otu6731,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Phragmocephala,Sporormiella_sp|SH190508.06FU,NA,NA
Otu6766,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma,Schizosaccharomyces_cryophilus|SH239688.06FU,NA,NA
Otu6768,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Dothideomycetes_sp|SH224798.06FU,Pathotroph,Plant Pathogen
Otu681,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Ascomycota_sp|SH212035.06FU,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
Otu6894,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Trematosphaeria,Phymatotrichopsis_omnivora|SH207548.06FU,Saprotroph,Undefined Saprotroph
Otu6922,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Testudinaceae,Lepidosphaeria,Schizosaccharomyces_cryophilus|SH239688.06FU,Saprotroph,Undefined Saprotroph
Otu696,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Hobus,Caloplaca_aquensis|SH210517.06FU,NA,NA
Otu6962,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Naumovozyma_sp_QMW_2012|SH236489.06FU,Saprotroph,Undefined Saprotroph
Otu6968,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Paraleptosphaeria,Schizosaccharomyces_cryophilus|SH239688.06FU,NA,NA
Otu6992,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Falciformispora,Dothideomycetes_sp|SH190252.06FU,Pathotroph,Plant Pathogen
Otu6996,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,Knufia_perforans|SH209750.06FU,Saprotroph,Undefined Saprotroph
Otu7014,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Arthopyreniaceae,Arthopyrenia,Ascomycota_sp|SH234492.06FU,Symbiotroph,Lichenized
Otu7025,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Falciformispora,Pulchromyces_fimicola|SH227367.06FU,Pathotroph,Plant Pathogen
Otu7033,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Herpotrichia,Pulchromyces_fimicola|SH227367.06FU,Saprotroph,Undefined Saprotroph
Otu7056,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Falciformispora,Leptosphaeria_tompkinsii|SH225407.06FU,Pathotroph,Plant Pathogen
Otu7084,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Herpotrichia,Lophiostoma_cynaroidis|SH235593.06FU,Saprotroph,Undefined Saprotroph
Otu7088,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Ascomycota_sp|SH196684.06FU,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
Otu7104,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Massaria_aucupariae|SH240306.06FU,Saprotroph,Undefined Saprotroph
Otu7110,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Mycocentrospora_acerina|SH196685.06FU,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
Otu7119,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta,Venturiaceae_sp|SH232828.06FU,NA,NA
Otu7175,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Ampelomyces,Schizosaccharomyces_cryophilus|SH239688.06FU,Symbiotroph,Endophyte
Otu7198,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Pleospora,Massaria_aucupariae|SH240306.06FU,Pathotroph-Saprotroph,Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph
Otu7207,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Leptosphaeria_sp|SH196249.06FU,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
Otu7248,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Juncaceicola,Pulchromyces_fimicola|SH227367.06FU,NA,NA
Otu7265,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Ampelomyces,Stagonospora_sp_4/99_1|SH212903.06FU,Symbiotroph,Endophyte
Otu7270,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Phragmocephala,Ascomycota_sp|SH235612.06FU,NA,NA
Otu7272,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Populocrescentia,Naumovozyma_sp_QMW_2012|SH236489.06FU,NA,NA
Otu7293,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Pseudochaetosphaeronema,Periconia_sp|SH196127.06FU,NA,NA
Otu7323,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Lophiostomataceae,Massariosphaeria,Pleosporales_sp|SH217125.06FU,Saprotroph,Undefined Saprotroph
Otu7338,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Ampelomyces,Ophiosphaerella_sp|SH192546.06FU,Symbiotroph,Endophyte
Otu7400,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeria,Phymatotrichopsis_omnivora|SH207548.06FU,Pathotroph,Plant Pathogen
Otu7402,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Schizosaccharomyces_cryophilus|SH239688.06FU,Pathotroph,Plant Pathogen
Otu7406,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Amniculicolaceae,Murispora,Naumovozyma_sp_QMW_2012|SH236489.06FU,Saprotroph,Undefined Saprotroph
Otu741,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Neomicrosphaeropsis,Leptospora_rubella|SH213116.06FU,NA,NA
Otu7419,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Herpotrichia,Pleosporales_sp|SH190513.06FU,Saprotroph,Undefined Saprotroph
Otu744,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Herpotrichia,Pleosporales_sp|SH232711.06FU,Saprotroph,Undefined Saprotroph
Otu7464,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Pseudochaetosphaeronema,Pulchromyces_fimicola|SH227367.06FU,NA,NA
Otu7483,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Arthopyreniaceae,Arthopyrenia,Ascomycota_sp|SH205843.06FU,Symbiotroph,Lichenized
Otu7484,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Ampelomyces,Sordariomycetes_sp|SH237144.06FU,Symbiotroph,Endophyte
Otu7500,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Falciformispora,Trichocomaceae_sp|SH190494.06FU,Pathotroph,Plant Pathogen
Otu7514,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Trematosphaeria,Pleosporales_sp|SH240081.06FU,Saprotroph,Undefined Saprotroph
Otu7546,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Comoclathris,Pulchromyces_fimicola|SH227367.06FU,Saprotroph,Undefined Saprotroph
Otu7549,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Pseudochaetosphaeronema,Periconia_sp_CY198|SH197553.06FU,NA,NA
Otu7559,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Paraleptosphaeria,Venturiaceae_sp|SH232828.06FU,NA,NA
Otu7594,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Parathyridaria,Knufia_perforans|SH209750.06FU,NA,NA
Otu7596,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Preussia_sp_2_JAS_2013|SH235616.06FU,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
Otu7600,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Pseudochaetosphaeronema,Dothideomycetes_sp|SH196053.06FU,NA,NA
Otu7612,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Lophiostomataceae,Massariosphaeria,Pleosporales_sp|SH217126.06FU,Saprotroph,Undefined Saprotroph
Otu7639,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta,Naumovozyma_sp_QMW_2012|SH236489.06FU,NA,NA
Otu7660,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Phoma_sp_12184|SH202149.06FU,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
Otu7666,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Pleosporaceae_sp|SH224801.06FU,Pathotroph,Plant Pathogen
Otu7669,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Pseudochaetosphaeronema,Ascomycota_sp|SH238464.06FU,NA,NA
Otu7697,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Septoriella,Pulchromyces_fimicola|SH227367.06FU,NA,NA
Otu7699,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Phragmocephala,Ascomycota_sp|SH223212.06FU,NA,NA
Otu7716,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Sympoventuria_capensis|SH232275.06FU,Pathotroph,Plant Pathogen
Otu7718,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Tintelnotia,Pleosporales_sp|SH196178.06FU,NA,NA
Otu7732,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Paraleptosphaeria,Pulchromyces_fimicola|SH227367.06FU,NA,NA
Otu7737,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Ascomycota_sp|SH212035.06FU,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
Otu7738,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Trematosphaeria,Botryosphaeriales_sp|SH238737.06FU,Saprotroph,Undefined Saprotroph
Otu7758,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Lophiostomataceae,Massariosphaeria,Sporormiella_sp|SH190508.06FU,Saprotroph,Undefined Saprotroph
Otu7771,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Lophiostomataceae,Massariosphaeria,Pleosporales_sp|SH217124.06FU,Saprotroph,Undefined Saprotroph
Otu7784,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Trematosphaeria,Curreya_grandicipis|SH206679.06FU,Saprotroph,Undefined Saprotroph
Otu7798,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Pleosporaceae_sp|SH224806.06FU,Pathotroph,Plant Pathogen
Otu7799,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Herpotrichia,Preussia_sp_4985|SH190512.06FU,Saprotroph,Undefined Saprotroph
Otu7811,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Pseudochaetosphaeronema,Ascomycota_sp|SH197541.06FU,NA,NA
Otu7812,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Herpotrichia,Knufia_perforans|SH209750.06FU,Saprotroph,Undefined Saprotroph
Otu7815,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Pseudochaetosphaeronema,Ascomycota_sp|SH238464.06FU,NA,NA
Otu7819,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Pyrenochaeta_sp|SH196247.06FU,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
Otu7835,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Herpotrichia,Pleosporales_sp|SH241497.06FU,Saprotroph,Undefined Saprotroph
Otu7840,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Pleosporales_sp|SH196240.06FU,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
Otu7859,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta,Pulchromyces_fimicola|SH227367.06FU,NA,NA
Otu7904,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Trematosphaeria,Pleosporales_sp|SH206992.06FU,Saprotroph,Undefined Saprotroph
Otu7918,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Pleosporaceae_sp|SH224808.06FU,Pathotroph,Plant Pathogen
Otu7927,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Arthopyreniaceae,Arthopyrenia,Pleosporales_sp|SH205838.06FU,Symbiotroph,Lichenized
Otu7933,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Trematosphaeria,Camarosporium_sp|SH238738.06FU,Saprotroph,Undefined Saprotroph
Otu7942,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Phragmocephala,Massarinaceae_sp|SH195587.06FU,NA,NA
Otu7988,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Lophiostomataceae,Massariosphaeria,Sporormiella_sp|SH190508.06FU,Saprotroph,Undefined Saprotroph
Otu7991,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Drechslera,Ophiocordyceps_formicarum|SH230805.06FU,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen
Otu800,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Pleosporaceae_sp|SH224824.06FU,Pathotroph,Plant Pathogen
Otu8015,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Arthopyreniaceae,Arthopyrenia,Pleosporales_sp|SH231573.06FU,Symbiotroph,Lichenized
Otu8017,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Pseudochaetosphaeronema,Periconia_sp|SH197554.06FU,NA,NA
Otu8024,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Pyrenochaeta_unguis_hominis|SH196243.06FU,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
Otu8042,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Amniculicolaceae,Murispora,Sporothrix_sp_1_ML_2011|SH205338.06FU,Saprotroph,Undefined Saprotroph
Otu8050,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Hobus,Naumovozyma_sp_QMW_2012|SH236489.06FU,NA,NA
Otu8058,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Naumovozyma_sp_QMW_2012|SH236489.06FU,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph
Otu806,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Trematosphaeria,Stagonospora_sp_AX113|SH196613.06FU,Saprotroph,Undefined Saprotroph
Otu8063,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta,Naumovozyma_sp_QMW_2012|SH236489.06FU,NA,NA
Otu807,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Lentitheciaceae,Murilentithecium,Dothideomycetes_sp|SH223807.06FU,NA,NA
Otu8085,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Trematosphaeria,Botryosphaeriales_sp|SH238737.06FU,Saprotroph,Undefined Saprotroph
Otu8086,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Nigrogranaceae,Nigrograna,Pulchromyces_fimicola|SH227367.06FU,Pathotroph,Animal Pathogen
Otu8110,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Arthopyreniaceae,Arthopyrenia,Pleosporales_sp|SH205839.06FU,Symbiotroph,Lichenized
Otu8143,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Trematosphaeria,Teloschistaceae_sp|SH224350.06FU,Saprotroph,Undefined Saprotroph
Otu8162,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Phragmocephala,Dothideomycetes_sp|SH190472.06FU,NA,NA
Otu8181,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Allophaeosphaeria,Schizosaccharomyces_cryophilus|SH239688.06FU,NA,NA
Otu8191,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Pseudochaetosphaeronema,Periconia_sp_CY198|SH197553.06FU,NA,NA
Otu8200,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Trematosphaeria,Chaetosphaeronema_sp|SH231242.06FU,Saprotroph,Undefined Saprotroph
Otu8209,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Pseudochaetosphaeronema,Pleosporales_sp|SH204417.06FU,NA,NA
Otu8216,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Hobus,Pulchromyces_fimicola|SH227367.06FU,NA,NA
Otu8230,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Drechslera,Schizosaccharomyces_cryophilus|SH239688.06FU,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen
Otu826,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Trematosphaeria,Phaeosphaeriaceae_sp|SH199980.06FU,Saprotroph,Undefined Saprotroph
Otu8262,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta,Sordariomycetes_sp|SH237144.06FU,NA,NA
Otu8287,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Phaeosphaeria_sp_HKC12|SH196607.06FU,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
Otu8290,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Pyrenochaeta,Schizosaccharomyces_cryophilus|SH239688.06FU,Saprotroph,Litter Saprotroph-Soil Saprotroph
Otu8331,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Pleosporaceae_sp|SH224808.06FU,Pathotroph,Plant Pathogen
Otu8333,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Ampelomyces,Schizosaccharomyces_cryophilus|SH239688.06FU,Symbiotroph,Endophyte
Otu8402,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Preussia_sp_4985|SH190512.06FU,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
Otu8415,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudocamarosporium,Naumovozyma_sp_QMW_2012|SH236489.06FU,NA,NA
Otu845,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Exserohilum_neoregeliae|SH241676.06FU,Pathotroph,Plant Pathogen
Otu8462,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Ascomycota_sp|SH218146.06FU,Pathotroph,Plant Pathogen
Otu8468,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Ochroconis_calidifluminalis|SH241393.06FU,Saprotroph,Undefined Saprotroph
Otu8476,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Sordariomycetes_sp|SH237144.06FU,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph
Otu8499,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeria,Pulchromyces_fimicola|SH227367.06FU,Pathotroph,Plant Pathogen
Otu854,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Pleosporaceae_sp|SH224800.06FU,Pathotroph,Plant Pathogen
Otu8540,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Falciformispora,Pulchromyces_fimicola|SH227367.06FU,Pathotroph,Plant Pathogen
Otu8565,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Trematosphaeriaceae,Falciformispora,Trichocomaceae_sp|SH190494.06FU,Pathotroph,Plant Pathogen
Otu858,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Arthopyreniaceae,Arthopyrenia,Dothideomycetes_sp|SH205842.06FU,Symbiotroph,Lichenized
Otu8594,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Sclerostagonospora,Ochroconis_calidifluminalis|SH241393.06FU,Saprotroph,Undefined Saprotroph
Otu862,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Nigrogranaceae,Nigrograna,Coniothyrium_sp|SH240067.06FU,Pathotroph,Animal Pathogen
Otu8654,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Lophiostomataceae,Massariosphaeria,Schizosaccharomyces_cryophilus|SH239688.06FU,Saprotroph,Undefined Saprotroph
Otu866,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Herpotrichia,Pleosporales_sp|SH232712.06FU,Saprotroph,Undefined Saprotroph
Otu8680,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Populocrescentia,Schizosaccharomyces_cryophilus|SH239688.06FU,NA,NA
Otu8730,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Pseudochaetosphaeronema,Microdiplodia_sp|SH224138.06FU,NA,NA
Otu8750,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,unclassified,Hobus,Naumovozyma_sp_QMW_2012|SH236489.06FU,NA,NA
Otu8760,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Stagonosporopsis,Stagonosporopsis_tanaceti|SH202147.06FU,Pathotroph,Plant Pathogen
Otu8761,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Lophiostomataceae,Massariosphaeria,Schizosaccharomyces_cryophilus|SH239688.06FU,Saprotroph,Undefined Saprotroph
Otu8762,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudocamarosporium,Pulchromyces_fimicola|SH227367.06FU,NA,NA
Otu8790,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Herpotrichia,Schizosaccharomyces_cryophilus|SH239688.06FU,Saprotroph,Undefined Saprotroph
Otu8803,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Dothideomycetes_sp|SH232444.06FU,Saprotroph,Undefined Saprotroph
Otu8819,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Pleosporaceae_sp|SH215499.06FU,Pathotroph,Plant Pathogen
Otu8880,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Melanommataceae,Herpotrichia,Westerdykella_sp_WQ63|SH190485.06FU,Saprotroph,Undefined Saprotroph
Otu8897,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Phaeosphaeriopsis_sp_C652|SH206991.06FU,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
