"plot","MAP","sample","Active_C_mgkg.1","C.mgperkg","N.mgperkg","P.mgperkg","Mg.mgperkg","Mn.mgperkg","Fe.mgperkg","K.mgperkg","Ca.mgperkg","pH","Beta_umolgSOC.1h.1","Nag_umolgSOC.1h.1","Phos_umolgSOC.1h.1","log.beta","log.nag","block","invasion","disturbance","vegetation.type","Sequencing.name","fungal.spec.richness","fungal.fisher.alpha","bacterial.spec.richness","bacterial.fisher.alpha","plant.shannon","plant.invsimpson","plant.spec.richness","PC1.soil","PC2.soil"
"1UGL",649.57788736,"1UGL.5",913.7516,4410,670,94,896,342,612,1468,5644,6.45,30152.24218,7453.341723,134303.4145,10.3140145668861,8.91641776422641,1,"Uninvaded","Undisturbed","Grassland",7999,132,36.80595944,4026,2590.002806,2.166009836,5.569432895,15,0.40360658221462,-0.788896878194874
"3DGN",655.0976,"3DGN.1",939.1818,9710,945,139,1810,617,477,1485,7825,6.66,14773.70041,4691.075798,30957.13605,9.60060387969166,8.45341721637315,3,"Invaded","Disturbed","Grassland",8100,195,50.44777086,3953,2970.297143,0.503769028,1.247071187,7,-3.20873184694544,-1.92845345679467
"3DGN",655.0976,"3DGN.2",1016.713,4800,470,216,2191,1201,989,3982,11826,6.59,36205.22688,9781.974167,91739.44292,10.4969587763411,9.18829660022483,3,"Invaded","Disturbed","Grassland",8101,178,42.15052451,3958,3233.804089,0.503769028,1.247071187,7,-3.95021882538112,3.22793927436642
"3DGN",655.0976,"3DGN.3",1041.651,7440,750,140,1370,500,393,1869,7064,6.25,12364.50227,5468.502823,49209.2547,9.42258492601149,8.60676015100446,3,"Invaded","Disturbed","Grassland",8102,103,22.35856773,1644,2519.007583,0.503769028,1.247071187,7,-2.38678086927429,-1.69033776468191
"3DGN",655.0976,"3DGN.4",1023.69,6080,670,154,873,484,558,1356,5461,5.72,10632.14057,1854.409941,27197.71645,9.27163682171275,7.52532183333471,3,"Invaded","Disturbed","Grassland",8103,170,39.68879036,3969,3282.99628,0.503769028,1.247071187,7,-0.427947478060496,-0.771927942448567
"3DGN",655.0976,"3DGN.5",1023.479,6030,620,135,849,487,491,1761,5376,7.08,31084.49519,7151.204643,47116.55307,10.3444644269061,8.8750361030351,3,"Invaded","Disturbed","Grassland",8104,204,52.16878236,3730,3139.853417,0.503769028,1.247071187,7,-1.08483202496788,-1.03605823513675
"3DGL",655.1792,"3DGL.1",1021.266,4740,470,153,865,173,570,1286,5698,6.2,21357.03985,7971.079401,53472.44341,9.96913669966901,8.98357519561278,3,"Uninvaded","Disturbed","Grassland",8095,166,42.05504289,4229,3253.280387,1.530025638,2.986314273,12,0.978649367621143,-0.238491982367693
"3DGL",655.1792,"3DGL.2",1020.233,4490,550,160,894,166,710,1321,6042,5.92,17605.6594,3835.438753,42786.99911,9.77597568615611,8.25203911481924,3,"Uninvaded","Disturbed","Grassland",8096,118,28.40509006,4009,2664.801911,1.530025638,2.986314273,12,0.955487692114883,0.0932572741315987
"3DGL",655.1792,"3DGL.3",991.9236,4170,410,127,631,178,700,1056,3996,6.44,20072.20626,5264.906954,10544.30336,9.90709136399984,8.56881875185731,3,"Uninvaded","Disturbed","Grassland",8097,167,42.9646833,4214,3235.664908,1.530025638,2.986314273,12,2.44489742842596,-0.0222764301504795
"3DGL",655.1792,"3DGL.4",1006.025,7050,680,192,1171,224,765,1477,8591,6.3,11036.24772,1657.076596,43159.63163,9.30894038162386,7.4128102420673,3,"Uninvaded","Disturbed","Grassland",8098,179,42.84856386,3126,2839.111462,1.530025638,2.986314273,12,-1.18243274685366,-0.201459229469381
"3DGL",655.1792,"3DGL.5",1038.912,4370,470,205,1446,463,1561,2665,8830,6.95,25531.27593,3576.55042,24767.48684,10.14765948666,8.1821540450305,3,"Uninvaded","Disturbed","Grassland",8099,141,32.20263356,4295,3338.134561,1.530025638,2.986314273,12,-1.71072432214782,3.13525765819196
"3UGN",652.703788800001,"3UGN.1",898.2513,5890,630,114,734,506,469,1714,5019,6.44,12779.18489,1199.364414,40919.18879,9.45557294577229,7.08954704045933,3,"Invaded","Undisturbed","Grassland",8080,193,50.09014045,2105,2222.244667,0.600406096,1.393113625,5,-0.301875603612631,-1.11078038750365
"3UGN",652.703788800001,"3UGN.2",1107.445,6010,590,173,1094,482,466,1362,5026,6.02,11842.95208,4905.318802,49656.49667,9.37948820844125,8.49807536519827,3,"Invaded","Undisturbed","Grassland",8081,224,57.15557979,3698,3283.437496,0.600406096,1.393113625,5,-0.864173555150499,-0.814118782326407
"3UGN",652.703788800001,"3UGN.3",1006.509,4620,520,148,758,500,567,1278,5034,6.07,13118.52602,4751.335498,62041.94416,9.48178071015021,8.46618101498501,3,"Invaded","Undisturbed","Grassland",8082,240,62.33840398,3532,3106.098932,0.600406096,1.393113625,5,0.463717498730818,-0.036422525926632
"3UGN",652.703788800001,"3UGN.4",905.0326,4720,530,141,924,457,426,1613,5515,7.01,15736.41301,5769.006568,48257.63199,9.66373260591156,8.66025517275511,3,"Invaded","Undisturbed","Grassland",8083,214,53.22763116,2070,2823.214231,0.600406096,1.393113625,5,-0.39594806507978,-0.325453597200983
"3UGN",652.703788800001,"3UGN.5",1054.851,5170,490,156,1001,581,565,1754,7946,6.58,21389.26325,4926.478143,75679.87872,9.97064435781799,8.5023796391344,3,"Invaded","Undisturbed","Grassland",8084,148,36.77982045,3222,2606.97451,0.600406096,1.393113625,5,-1.25106135429893,0.271761485818392
"3UGL",652.742726400001,"3UGL.1",999.3456,5390,920,110,747,348,549,1291,4489,5.21,14670.14703,4940.062709,62908.16364,9.59356989358169,8.50513330423095,3,"Uninvaded","Undisturbed","Grassland",8075,222,58.64572834,1692,2196.356798,2.540033992,9.579077838,18,0.572082977251857,-1.83016295387639
"3UGL",652.742726400001,"3UGL.2",925.3768,3950,450,112,976,430,375,1494,5774,6.31,23213.74344,12707.70886,50671.16481,10.0524997719161,9.449964085149,3,"Uninvaded","Undisturbed","Grassland",8076,144,41.19459144,2838,2800.181181,2.540033992,9.579077838,18,0.381180836812794,-0.378440489420405
"3UGL",652.742726400001,"3UGL.3",1004.244,4400,460,98,724,290,501,1160,3568,6.81,14184.39889,2884.369545,52353.12523,9.55989796989104,7.96706162646516,3,"Uninvaded","Undisturbed","Grassland",8077,185,49.70822015,2569,2667.111711,2.540033992,9.579077838,18,1.57874980394625,-1.07130164820773
"3UGL",652.742726400001,"3UGL.4",1041.778,3830,450,109,884,384,422,1590,4584,6.84,10247.37872,2948.24517,27922.85587,9.23477721722673,7.98896541470875,3,"Uninvaded","Undisturbed","Grassland",8078,177,50.6087639,3696,2930.677496,2.540033992,9.579077838,18,0.472754827213232,-0.574176989169195
"3UGL",652.742726400001,"3UGL.5",946.8835,4440,440,118,653,403,572,1427,4160,6.24,39986.10473,6870.29527,99455.22117,10.5962872909951,8.83496236391434,3,"Uninvaded","Undisturbed","Grassland",8079,143,39.63987705,3579,2689.965916,2.540033992,9.579077838,18,1.28905339053706,-0.0442824842542216
"2DGN",648.424724319999,"2DGN.1",1085.162,6980,730,126,1316,431,459,1874,8040,6.11,5904.554427,827.1738682,7238.864198,8.68347926888352,6.71801491258786,2,"Invaded","Disturbed","Grassland",8060,228,57.09812413,3116,3237.263496,0.06549148,1.021478222,3,-2.12446861257181,-1.57276669347783
"2DGN",648.424724319999,"2DGN.2",1040.463,6450,670,119,1232,449,427,1907,7943,6.24,15780.96434,1647.348682,35451.67566,9.66655970406622,7.40692241511749,2,"Invaded","Disturbed","Grassland",8061,210,53.86200999,3169,2868.541649,0.06549148,1.021478222,3,-1.85000721796999,-1.43142927994657
"2DGN",648.424724319999,"2DGN.4",1055.45,5520,610,321,1944,414,473,2450,10442,7.97,16445.88185,3081.216123,27439.61033,9.70783038138732,8.03307964316667,2,"Invaded","Disturbed","Grassland",8063,214,54.56394005,3044,2184.223222,0.06549148,1.021478222,3,-3.8050327955913,0.929326311070665
"2DGN",648.424724319999,"2DGN.5",1083.244,8530,970,227,2005,513,767,2496,9925,6.26,22557.4422,4389.165064,36373.8095,10.0238203215247,8.38689429754792,2,"Invaded","Disturbed","Grassland",8064,139,36.94098585,1610,1940.951052,0.06549148,1.021478222,3,-4.15609905399081,-0.0929221392477358
"2DGL",648.9143248,"2DGL.1",1033.366,3740,400,113,722,249,592,1251,4045,6.53,8331.763956,1144.784836,6761.684225,9.0278304721668,7.04297198217268,2,"Uninvaded","Disturbed","Grassland",8055,121,28.56083135,3916,2596.752559,1.869691145,4.592346425,11,1.88531723721784,-0.0854209218337715
"2DGL",648.9143248,"2DGL.2",1208.645,4805,505,112,785,295,576,1357,4561,5.85,8788.501326,2355.48869,23828.61556,9.08119947853193,7.76450349660023,2,"Uninvaded","Disturbed","Grassland",8056,192,48.5355442,1506,1707.942831,1.869691145,4.592346425,11,0.774381954021721,-1.08571234839523
"2DGL",648.9143248,"2DGL.3",1013.592,6650,650,143,1124,308,728,1917,6509,6.43,8349.928586,1809.81609,36818.64872,9.03000826523348,7.50098051136265,2,"Uninvaded","Disturbed","Grassland",8057,183,43.37813142,4301,3431.635593,1.869691145,4.592346425,11,-1.1824998196156,-0.405763618656142
