sample,block,Rep,Plot_ind,Treatments,disturbance,vegetation.type,invasion,Beta_umolgSOC-1h-1,Nag_umolgSOC-1h-1,Phos_umolgSOC-1h-1,Beta:Nag,Beta:Phos,Nag:Phos,Beta_Prop,Nag_Prop,Phos_Prop,SOC.percent,N.percent,H.percent,S.percentIR,C:N,C:P,N:P,pH,ActiveC.to.TotalC,Active_C_mgkg-1,C.mgperkg,N.mgperkg,P.mgperkg,Mg.mgperkg,Mn.mgperkg,Fe.mgperkg,K.mgperkg,Ca.mgperkg,Ca_NoHIGH.mgperkg,Clay.percent,Sand.percent,Silt.percent,Texture.class
3DGL.2,3,2,3A,DGL,Disturbed,Grassland,Uninvaded,17605.6594,3835.438753,42786.99911,4.59,0.41,0.09,0.274,0.06,0.666,0.449,0.055,0.107,0.022,8.1636,28.06,3.44,5.92,0.227223385,1020.233,4490,550,160,894,166,710,1321,6042,6042,15.6,76.4,8,Sandy Loam
3DGL.3,3,3,3A,DGL,Disturbed,Grassland,Uninvaded,20072.20626,5264.906954,10544.30336,3.81,1.9,0.5,0.559,0.147,0.294,0.417,0.041,0.098,0.014,10.1707,32.83,3.23,6.44,0.237871367,991.9236,4170,410,127,631,178,700,1056,3996,3996,15.6,76.4,8,Sandy Loam
3DGL.4,3,4,3A,DGL,Disturbed,Grassland,Uninvaded,11036.24772,1657.076596,43159.63163,6.66,0.26,0.04,0.198,0.03,0.773,0.705,0.068,0.117,0.026,10.3676,36.72,3.54,6.3,0.142698582,1006.025,7050,680,192,1171,224,765,1477,8591,8591,15.6,76.4,8,Sandy Loam
3DGL.5,3,5,3A,DGL,Disturbed,Grassland,Uninvaded,25531.27593,3576.55042,24767.48684,7.14,1.03,0.14,0.474,0.066,0.46,0.437,0.047,0.082,0.085,9.2979,21.32,2.29,6.95,0.2377373,1038.912,4370,470,205,1446,463,1561,2665,8830,8830,15.6,76.4,8,Sandy Loam
3DGN.1,3,1,3B,DGN,Disturbed,Grassland,Invaded,14773.70041,4691.075798,30957.13605,3.15,0.48,0.15,0.293,0.093,0.614,0.971,0.095,0.2305,0.013,10.2751,69.86,6.8,6.66,0.096723151,939.1818,9710,945,139,1810,617,477,1485,7825,7825,16.1,75.4,8.5,Sandy Loam
3DGN.2,3,2,3B,DGN,Disturbed,Grassland,Invaded,36205.22688,9781.974167,91739.44292,3.7,0.39,0.11,0.263,0.071,0.666,0.48,0.047,0.094,0.011,10.2128,22.22,2.18,6.59,0.211815208,1016.713,4800,470,216,2191,1201,989,3982,11826,11826,16.1,75.4,8.5,Sandy Loam
3DGN.3,3,3,3B,DGN,Disturbed,Grassland,Invaded,12364.50227,5468.502823,49209.2547,2.26,0.25,0.11,0.184,0.082,0.734,0.744,0.075,0.131,0.013,9.92,53.14,5.36,6.25,0.140006855,1041.651,7440,750,140,1370,500,393,1869,7064,7064,16.1,75.4,8.5,Sandy Loam
3DGN.4,3,4,3B,DGN,Disturbed,Grassland,Invaded,10632.14057,1854.409941,27197.71645,5.73,0.39,0.07,0.268,0.047,0.685,0.608,0.067,0.183,0.01,9.0746,39.48,4.35,5.72,0.168370066,1023.69,6080,670,154,873,484,558,1356,5461,5461,16.1,75.4,8.5,Sandy Loam
3DGN.5,3,5,3B,DGN,Disturbed,Grassland,Invaded,31084.49519,7151.204643,47116.55307,4.35,0.66,0.15,0.364,0.084,0.552,0.603,0.062,0.132,0.013,9.7258,44.67,4.59,7.08,0.169731177,1023.479,6030,620,135,849,487,491,1761,5376,5376,16.1,75.4,8.5,Sandy Loam
3DML.1,3,1,3C,DML,Disturbed,Motte,Uninvaded,15919.11911,2745.257782,11489.61594,5.8,1.39,0.24,0.528,0.091,0.381,1.073,0.116,0.355,0.02,9.25,19.69,2.13,6.05,0.096571109,1036.208,10730,1160,545,2061,558,532,1953,17791,17791,16.6,76.4,7,Sandy Loam
