block,invasion,disturbance,vegetation.type,sample,Sequencing.name,plot,fungal.spec.richness,fungal.fisher.alpha,bacterial.spec.richness,bacterial.fisher.alpha,plant.shannon,plant.invsimpson,plant.spec.richness,Beta_umolgSOC.1h.1,Nag_umolgSOC.1h.1,Phos_umolgSOC.1h.1
1,Uninvaded,Undisturbed,Woody patch,1UML.3,7987,1UML,245,62.35595576,2951,2867.950125,1.586310919,4.039946341,8,9873.404694,2590.590502,38493.625
1,Uninvaded,Undisturbed,Woody patch,1UML.4,7988,1UML,119,31.08660348,697,1351.81245,1.586310919,4.039946341,8,6955.284464,1669.744081,24037.49448
1,Uninvaded,Undisturbed,Woody patch,1UML.5,7989,1UML,208,54.25691225,3712,2603.447274,1.586310919,4.039946341,8,9036.670405,1971.953544,38093.79329
2,Invaded,Disturbed,Grassland,2DGN.1,8060,2DGN,228,57.09812413,3116,3237.263496,0.06549148,1.021478222,3,5904.554427,827.1738682,7238.864198
2,Invaded,Disturbed,Grassland,2DGN.2,8061,2DGN,210,53.86200999,3169,2868.541649,0.06549148,1.021478222,3,15780.96434,1647.348682,35451.67566
2,Invaded,Disturbed,Grassland,2DGN.3,8062,2DGN,241,62.4357821,2313,1552.529158,0.06549148,1.021478222,3,11182.62485,1482.537532,7048.945757
2,Invaded,Disturbed,Grassland,2DGN.4,8063,2DGN,214,54.56394005,3044,2184.223222,0.06549148,1.021478222,3,16445.88185,3081.216123,27439.61033
2,Invaded,Disturbed,Grassland,2DGN.5,8064,2DGN,139,36.94098585,1610,1940.951052,0.06549148,1.021478222,3,22557.4422,4389.165064,36373.8095
2,Invaded,Disturbed,Woody patch,2DMN.1,8050,2DMN,126,29.66795324,3049,1886.791229,0.163023629,1.079872204,2,9037.319844,1545.797535,7872.870295
2,Invaded,Disturbed,Woody patch,2DMN.2,8051,2DMN,211,53.17331786,3373,2166.352181,0.163023629,1.079872204,2,5805.396764,1745.601061,11202.40418
2,Invaded,Disturbed,Woody patch,2DMN.3,8052,2DMN,150,35.93695096,2730,1749.437433,0.163023629,1.079872204,2,14081.51183,4211.523756,2296.742488
2,Invaded,Disturbed,Woody patch,2DMN.4,8053,2DMN,128,32.78312418,2791,2121.101546,0.163023629,1.079872204,2,6645.8058,2114.169252,17611.61167
2,Invaded,Disturbed,Woody patch,2DMN.5,8054,2DMN,110,30.74268519,1949,1652.665856,0.163023629,1.079872204,2,8616.690747,2353.548539,13435.03774
2,Invaded,Undisturbed,Grassland,2UGN.1,8040,2UGN,185,49.10185911,2224,2347.079652,0.580773613,1.520730117,3,28997.99726,6776.979551,74729.7813
2,Invaded,Undisturbed,Grassland,2UGN.2,8041,2UGN,185,46.80683005,3347,2360.823218,0.580773613,1.520730117,3,16333.34507,1162.26365,46027.29612
2,Invaded,Undisturbed,Grassland,2UGN.3,8042,2UGN,117,28.67323332,2272,2079.829906,0.580773613,1.520730117,3,8087.972137,3358.828137,29752.00461
2,Invaded,Undisturbed,Grassland,2UGN.4,8043,2UGN,242,62.34199487,3868,2997.611319,0.580773613,1.520730117,3,12734.78376,5335.906536,66011.3152
2,Invaded,Undisturbed,Grassland,2UGN.5,8044,2UGN,195,49.84954328,3665,2717.961065,0.580773613,1.520730117,3,31382.78977,14706.26113,89613.03504
2,Invaded,Undisturbed,Woody patch,2UMN.1,8030,2UMN,187,48.69037653,2016,1206.218946,0.191444082,1.099750623,2,1144.580984,416.3636417,310.7034016
2,Invaded,Undisturbed,Woody patch,2UMN.2,8031,2UMN,184,46.80344738,3572,2172.757525,0.191444082,1.099750623,2,2485.16212,956.5508058,8899.33274
2,Invaded,Undisturbed,Woody patch,2UMN.3,8032,2UMN,179,43.67296338,2402,2236.398528,0.191444082,1.099750623,2,10114.63234,3752.232672,19302.51414
2,Invaded,Undisturbed,Woody patch,2UMN.4,8033,2UMN,165,39.21857365,3787,2484.963561,0.191444082,1.099750623,2,2750.452963,964.5010573,7192.365551
2,Invaded,Undisturbed,Woody patch,2UMN.5,8034,2UMN,164,39.40087718,2397,1325.28776,0.191444082,1.099750623,2,2222.669296,1803.01521,10386.25347
2,Uninvaded,Disturbed,Grassland,2DGL.1,8055,2DGL,121,28.56083135,3916,2596.752559,1.869691145,4.592346425,11,8331.763956,1144.784836,6761.684225
2,Uninvaded,Disturbed,Grassland,2DGL.2,8056,2DGL,192,48.5355442,1506,1707.942831,1.869691145,4.592346425,11,8788.501326,2355.48869,23828.61556
2,Uninvaded,Disturbed,Grassland,2DGL.3,8057,2DGL,183,43.37813142,4301,3431.635593,1.869691145,4.592346425,11,8349.928586,1809.81609,36818.64872
2,Uninvaded,Disturbed,Grassland,2DGL.4,8058,2DGL,145,34.56000627,3708,2964.987628,1.869691145,4.592346425,11,33036.57774,10550.33716,70396.31575
2,Uninvaded,Disturbed,Grassland,2DGL.5,8059,2DGL,204,50.98490091,3624,2816.77897,1.869691145,4.592346425,11,13899.84589,7101.568307,37967.95866
