sample,PC1.soil,PC2.soil,PCNM1,log.beta,log.nag,log.phos,fungal.spec.richness,bacterial.fisher.alpha,bacterial.spec.richness,MAP,plant.shannon,jacc.f.nmds1,horn.b.nmds1
2DML.1,-4.116482976,0.548687899,-0.077131509,8.348586337,6.779633743,8.242367765,156,1506.939323,2994,649.1039018,1.551522807,-0.527538269,-0.003564196
2DML.2,-1.685146123,1.425501451,-0.077131509,8.550725029,7.502760631,8.123589717,193,2188.795577,2978,649.1039018,1.551522807,-0.419796218,-0.005663018
2DML.3,0.741537369,1.993704394,-0.077131509,9.304212703,7.491928173,10.12418234,200,3207.862542,4683,649.1039018,1.551522807,-0.236765612,-0.006649191
2DML.4,-1.296360831,0.075905459,-0.077131509,8.372723259,6.531719368,9.31600173,223,2448.52959,2904,649.1039018,1.551522807,-0.284600298,-0.005342722
2DML.5,3.492210279,0.239654243,-0.077131509,8.447144813,7.978135244,10.62546479,172,2169.603554,3427,649.1039018,1.551522807,0.901352678,0.010895541
3DML.1,-1.221927838,-0.894137679,-0.03633175,9.675276126,7.917630259,9.349198945,181,2135.983945,3037,648.5637395,1.303052294,-0.34851806,-0.014556191
3DML.2,-3.304807396,-0.901584946,-0.03633175,8.657106117,7.196814168,8.823576124,133,1651.980645,3058,648.5637395,1.303052294,-0.561944594,-0.017759533
3DML.3,1.405137102,0.020661518,-0.03633175,9.533611025,7.725021284,10.56503774,254,1399.870682,403,648.5637395,1.303052294,-0.132049236,-0.001136255
3DML.4,-1.437884324,-0.020786329,-0.03633175,8.617152149,7.121989335,8.741036486,134,1887.45191,3481,648.5637395,1.303052294,-0.743187868,-0.00649907
3DML.5,1.109549532,1.129456038,-0.03633175,10.04266378,8.405219529,10.60091865,235,3118.228547,4078,648.5637395,1.303052294,-0.140935698,0.00197782
2UMN.1,1.569272655,-0.652619178,-0.076764623,7.042793896,6.031559017,5.738838765,187,1206.218946,2016,648.4269894,0.191444082,0.650863217,0.004682852
2UMN.2,0.261286273,-1.0315961,-0.076764623,7.818093176,6.863333904,9.09373158,184,2172.757525,3572,648.4269894,0.191444082,0.353703474,0.001469852
2UMN.3,-1.198157204,-0.018328384,-0.076764623,9.221738401,8.230106321,9.867990633,179,2236.398528,2402,648.4269894,0.191444082,0.253734402,0.007851477
2UMN.4,0.832303543,-0.140515528,-0.076764623,7.919520891,6.871610929,8.880775402,165,2484.963561,3787,648.4269894,0.191444082,0.254275723,-0.008014302
2UMN.5,0.620739843,-0.878774469,-0.076764623,7.706464138,7.497215659,9.248238429,164,1325.28776,2397,648.4269894,0.191444082,0.420626957,0.008298844
2UML.1,5.34877049,-1.395691804,-0.076767083,7.865495449,8.357878722,9.259065837,93,879.4492496,2399,648.477268,0.771502809,0.970499827,0.002918937
2UML.2,3.753541799,-0.56114317,-0.076767083,8.23082433,7.356225252,8.869528862,170,1659.263939,2418,648.477268,0.771502809,0.880568444,0.004624693
2UML.3,3.852928326,-2.024793371,-0.076767083,8.527639711,7.613856429,8.945000279,163,1043.349545,2564,648.477268,0.771502809,0.972263184,0.005448752
2UML.4,5.011666241,-2.11926383,-0.076767083,10.16967547,8.95301382,10.79413009,128,863.8335082,1989,648.477268,0.771502809,1.346136585,0.006202659
2UML.5,4.453184526,-1.834356073,-0.076767083,8.082264238,6.982258076,7.796610416,142,850.284287,1896,648.477268,0.771502809,0.79955238,0.003241151
